month,Binance_Total,Coinbase_Total,FTX_Total,Huobi_Total,Kraken_Total,KuCoin_Total,OKX_Total,Binance_Avg,Coinbase_Avg,FTX_Avg,Huobi_Avg,Kraken_Avg,KuCoin_Avg,OKX_Avg
2024-07,259724273038.50305,37914125504.428314,0.0,53048496631.629326,12755557779.14825,14558052998.06065,41025542045.73949,12367822525.643002,1805434547.8299198,0.0,2526118887.220444,607407513.2927738,693240618.9552691,1953597240.273309
2024-08,451813295870.21246,64962284966.162346,0.0,68352644711.29529,24231201689.772644,28448533881.049282,67956962680.762,14574622447.426208,2095557579.5536242,0.0,2204924022.945009,781651667.4120208,917694641.3241704,2192160086.4761934
2024-09,348763593502.5628,36303896063.53428,0.0,51764014372.8448,17968896006.03916,16171823986.959366,49783965290.23993,11625453116.752094,1210129868.784476,0.0,1725467145.7614934,598963200.2013054,539060799.5653121,1659465509.6746643
2024-10,424106248442.50806,60577443048.56979,0.0,48828870561.36828,20464841363.525208,21394314332.306366,60083384178.48116,13680846723.951872,1954111066.0828965,0.0,1575124856.8183315,660156173.0169421,690139172.0098828,1938173683.1768117
2024-11,970899948526.7686,167160327766.92764,0.0,82190950342.30348,52769420796.11954,51182337054.17862,166862215471.8079,32363331617.558952,5572010925.564255,0.0,2739698344.743449,1758980693.2039845,1706077901.805954,5562073849.060263
2024-12,1001014631379.341,184042233904.6498,0.0,95298634276.86237,54473351592.375175,59973357599.50536,178400391313.57758,32290794560.6239,5936846254.988704,0.0,3074149492.802012,1757204890.0766187,1934624438.6937213,5754851332.696051
2025-01,792642288474.3142,152096871335.21924,0.0,87132216678.87752,48814352717.72419,47182210157.554634,134231753975.1174,25569106079.816586,4906350688.232879,0.0,2810716667.060565,1574656539.2814255,1522006779.275956,4330056579.842497
2025-02,655486098673.9158,121777708238.39592,0.0,72958002262.41527,36518011581.328804,35004378827.33169,109355318334.12419,23410217809.782707,4349203865.656997,0.0,2605642937.9434023,1304214699.3331716,1250156386.6904175,3905547083.3615785
2025-03,583224558057.3268,98919168542.17198,0.0,92636450650.30322,33274101972.790634,32421666318.768124,97006355072.52147,18813695421.20409,3190940920.715225,0.0,2988272601.6226845,1073358128.1545366,1045860203.8312298,3129237260.4039183
2025-04,477415853624.5745,86585637247.4158,0.0,68704102847.37634,31534281830.40567,32796728247.922394,88857407873.95964,15913861787.485817,2886187908.2471933,0.0,2290136761.579211,1051142727.680189,1093224274.9307466,2961913595.7986546
2025-05,549048872772.8204,82587103954.15068,0.0,106427952102.76361,33937817603.06189,43770843659.03083,108495458009.44388,17711253960.41356,2664100127.553248,0.0,3433159745.250439,1094768309.77619,1411962698.6784139,3499853484.175609
2025-06,434861089294.4192,55176614847.53014,0.0,90608832842.5106,29247431179.291515,30338912879.568825,71253560331.37012,14495369643.147306,1839220494.9176714,0.0,3020294428.083687,974914372.6430506,1011297095.9856275,2375118677.712337
2025-07,133761623748.71873,17801856258.80873,0.0,23328466236.640842,10187944770.739714,10897717893.42672,19750628611.87982,13376162374.871874,1780185625.8808732,0.0,2332846623.6640844,1018794477.0739714,1089771789.3426719,1975062861.187982
